Sample,Sample timing,Township,Field,Location ID,Area,Distance,Category,Crop,Year,Date collected,%L-Tox,%AF36,%L-atox,%S,%tamarii,cfu/g,CFU L-tox,CFU AF36,CFU S,CFU tamarii,Lat,Long,Geometry,Polygon Points
AZT22S01,Pre-treatment,31302,302,AZT01,Willcox,> 2 miles,CorGT2,Corn,2022,,ND,ND,ND,ND,ND,0,0,0,0,0,32.514965,-109.9321686,"(32°3051""N, 109°5929""W), (32°3048""N, 109°5939""W), (32°3039""N, 109°5944""W), (32°3030""N, 109°5941""W), (32°3026""N, 109°5929""W), (32°3030""N, 109°5917""W), (32°3039""N, 109°5914""W), (32°3048""N, 109°5918""W)","(32.514167, -109.991389), (32.513333, -109.994167), (32.510833, -109.994722), (32.508333, -109.994722), (32.507222, -109.991389), (32.508333, -109.988056), (32.510833, -109.987222), (32.513333, -109.988333), (32.514167, -109.991389)"
AZT22S30,Fall,31302,302,AZT01,Willcox,> 2 miles,CorGT2,Corn,2022,8/10/2022,33,11,56,0,0,6,2,1,0,0,,,nan,"(32.514167, -109.991389), (32.513333, -109.994167), (32.510833, -109.994722), (32.508333, -109.994722), (32.507222, -109.991389), (32.508333, -109.988056), (32.510833, -109.987222), (32.513333, -109.988333), (32.514167, -109.991389)"
AZT21S01,Pre-treatment,31302,302,AZT01,Willcox,> 2 miles,CorGT2,Corn,2021,6/30/2021,20,80,0,0,0,11,2,9,0,0,,,nan,"(32.514167, -109.991389), (32.513333, -109.994167), (32.510833, -109.994722), (32.508333, -109.994722), (32.507222, -109.991389), (32.508333, -109.988056), (32.510833, -109.987222), (32.513333, -109.988333), (32.514167, -109.991389)"
AZT21S29,Fall,31302,302,AZT01,Willcox,> 2 miles,CorGT2,Corn,2021,10/9/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.514167, -109.991389), (32.513333, -109.994167), (32.510833, -109.994722), (32.508333, -109.994722), (32.507222, -109.991389), (32.508333, -109.988056), (32.510833, -109.987222), (32.513333, -109.988333), (32.514167, -109.991389)"
AZT21S02,Pre-treatment,31302,302E,AZT02,Willcox,> 2 miles,FGT2,Fallow,2021,6/30/2021,71,12,0,0,18,67,47,8,0,12,32.5159431,-109.9832606,"(32°3051""N, 109°5919""W), (32°3051""N, 109°5915""W), (32°3048""N, 109°5915""W), (32°3048""N, 109°5919""W)","(32.514167, -109.988611), (32.514167, -109.9875), (32.513333, -109.9875), (32.513333, -109.988611), (32.514167, -109.988611)"
AZT21S30,Fall,31302,302E,AZT02,Willcox,> 2 miles,FGT2,Fallow,2021,10/9/2021,100,0,0,0,0,833,833,0,0,0,,,nan,"(32.514167, -109.988611), (32.514167, -109.9875), (32.513333, -109.9875), (32.513333, -109.988611), (32.514167, -109.988611)"
AZT22S02,Pre-treatment,31302,302E,AZT02,Willcox,> 2 miles,FGT2,Fallow,2022,,60,0,33,0,7,267,160,0,0,18,,,nan,"(32.514167, -109.988611), (32.514167, -109.9875), (32.513333, -109.9875), (32.513333, -109.988611), (32.514167, -109.988611)"
AZT22S31,Fall,31302,302E,AZT02,Willcox,> 2 miles,FGT2,Fallow,2022,8/10/2022,20,7,20,0,53,37,7,2,0,20,,,nan,"(32.514167, -109.988611), (32.514167, -109.9875), (32.513333, -109.9875), (32.513333, -109.988611), (32.514167, -109.988611)"
AZT21S03,Pre-treatment,31302,1202,AZT03,Willcox,< 2 miles,CorGT2,Corn,2021,6/30/2021,ND,ND,ND,ND,ND,0,0,0,0,0,32.4859976,-109.9225051,"(32°2959""N, 109°5725""W), (32°2956""N, 109°5736""W), (32°2947""N, 109°5741""W), (32°2937""N, 109°5736""W), (32°2933""N, 109°5726""W), (32°2937""N, 109°5714""W), (32°2946""N, 109°5710""W), (32°2955""N, 109°5714""W)","(32.499722, -109.956944), (32.498889, -109.96), (32.496389, -109.961389), (32.493611, -109.96), (32.4925, -109.957222), (32.493611, -109.953889), (32.496111, -109.952778), (32.498611, -109.953889), (32.499722, -109.956944)"
AZT21S31,Fall,31302,1202,AZT03,Willcox,< 2 miles,CorGT2,Corn,2021,10/9/2021,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.499722, -109.956944), (32.498889, -109.96), (32.496389, -109.961389), (32.493611, -109.96), (32.4925, -109.957222), (32.493611, -109.953889), (32.496111, -109.952778), (32.498611, -109.953889), (32.499722, -109.956944)"
AZT22S03,Pre-treatment,31302,1202,AZT03,Willcox,< 2 miles,CorGT2,Corn,2022,,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.499722, -109.956944), (32.498889, -109.96), (32.496389, -109.961389), (32.493611, -109.96), (32.4925, -109.957222), (32.493611, -109.953889), (32.496111, -109.952778), (32.498611, -109.953889), (32.499722, -109.956944)"
AZT22S32,Fall,31302,1202,AZT03,Willcox,< 2 miles,CorGT2,Corn,2022,8/10/2022,50,33,0,0,17,8,4,3,0,1,,,nan,"(32.499722, -109.956944), (32.498889, -109.96), (32.496389, -109.961389), (32.493611, -109.96), (32.4925, -109.957222), (32.493611, -109.953889), (32.496111, -109.952778), (32.498611, -109.953889), (32.499722, -109.956944)"
AZT21S04,Pre-treatment,31302,1202W,AZT04,Willcox,< 2 miles,FLT2,Fallow,2021,6/30/2021,100,0,0,0,0,133,133,0,0,0,32.4966362,-109.9594708,"(32°2939""N, 109°5741""W), (32°2939""N, 109°5738""W), (32°2936""N, 109°5738""W), (32, 2936""N, 109°5741""W)","(32.494167, -109.961389), (32.494167, -109.960556), (32.493333, -109.960556), (32.493333, -109.961389), (32.494167, -109.961389)"
AZT21S32,Fall,31302,1202W,AZT04,Willcox,< 2 miles,FLT2,Fallow,2021,10/9/2021,100,0,0,0,0,7,7,0,0,0,,,nan,"(32.494167, -109.961389), (32.494167, -109.960556), (32.493333, -109.960556), (32.493333, -109.961389), (32.494167, -109.961389)"
AZT22S04,Pre-treatment,31302,1202W,AZT04,Willcox,< 2 miles,FLT2,Fallow,2022,,80,7,13,0,0,233,187,16,0,0,,,nan,"(32.494167, -109.961389), (32.494167, -109.960556), (32.493333, -109.960556), (32.493333, -109.961389), (32.494167, -109.961389)"
AZT22S33,Fall,31302,1202W,AZT04,Willcox,< 2 miles,FLT2,Fallow,2022,8/10/2022,92,8,0,0,0,16,14,1,0,0,,,nan,"(32.494167, -109.961389), (32.494167, -109.960556), (32.493333, -109.960556), (32.493333, -109.961389), (32.494167, -109.961389)"
AZT21S05,Pre-treatment,31316,2701,AZT05,Bowie(North),Adjacent,PA,Pecan,2021,7/9/2021,5,90,5,0,0,50,3,45,0,0,32.3488326,-109.4836541,"(32°2127""N, 109°2826""W), (32°2127""N, 109°2820""W), (32°2116""N, 109°2820""W)(32°2116""N, 109°2826""W)","(32.3575, -109.473889), (32.3575, -109.472222), (32.354444, -109.472222), (32.354444, -109.473889), (32.3575, -109.473889)"
AZT21S33,Fall,31316,2701,AZT05,Bowie(North),Adjacent,PA,Pecan,2021,,67,0,0,0,33,2,1,0,0,1,,,nan,"(32.3575, -109.473889), (32.3575, -109.472222), (32.354444, -109.472222), (32.354444, -109.473889), (32.3575, -109.473889)"
AZT22S05,Pre-treatment,31316,2701,AZT05,Bowie(North),Adjacent,PA,Pecan,2022,,40,0,47,0,13,20,8,0,0,3,,,nan,"(32.3575, -109.473889), (32.3575, -109.472222), (32.354444, -109.472222), (32.354444, -109.473889), (32.3575, -109.473889)"
AZT22S34,Fall,31316,2701,AZT05,Bowie(North),Adjacent,PA,Pecan,2022,8/8/2022,79,7,14,0,0,6,4,0,0,0,,,nan,"(32.3575, -109.473889), (32.3575, -109.472222), (32.354444, -109.472222), (32.354444, -109.473889), (32.3575, -109.473889)"
AZT21S06,Pre-treatment,31316,3401,AZT06,Bowie(North),< 2 miles,PLT2,Pecan,2021,7/9/2021,95,5,0,0,0,467,443,23,0,0,32.3488326,-109.4836541,"(32°2114""N, 109°2901""W), (32°2114""N, 109°2847""W), (32°2103""N, 109°2847""W), (32°2103""N, 109°2901""W)","(32.353889, -109.483611), (32.353889, -109.479722), (32.350833, -109.479722), (32.350833, -109.483611), (32.353889, -109.483611)"
AZT21S34,Fall,31316,3401,AZT06,Bowie(North),< 2 miles,PLT2,Pecan,2021,,ND,ND,ND,ND,ND,0,0,0,0,0,,,nan,"(32.353889, -109.483611), (32.353889, -109.479722), (32.350833, -109.479722), (32.350833, -109.483611), (32.353889, -109.483611)"
AZT22S06,Pre-treatment,31316,3401,AZT06,Bowie(North),< 2 miles,PLT2,Pecan,2022,,0,0,0,0,100,17,0,0,0,17,,,nan,"(32.353889, -109.483611), (32.353889, -109.479722), (32.350833, -109.479722), (32.350833, -109.483611), (32.353889, -109.483611)"
AZT22S35,Fall,31316,3401,AZT06,Bowie(North),< 2 miles,PLT2,Pecan,2022,8/8/2022,36,21,29,0,14,6,2,1,0,1,,,nan,"(32.353889, -109.483611), (32.353889, -109.479722), (32.350833, -109.479722), (32.350833, -109.483611), (32.353889, -109.483611)"
AZT21S07,Pre-treatment,31317,908,AZT07,Bowie,< 2 miles,PLT2,Pecan,2021,7/9/2021,50,50,0,0,0,733,367,367,0,0,32.3198761,-109.4891214,"(32°1914""N, 109°2933""W), (32°1914""N, 109°2927""W), (32°1912""N, 109°2927""W), (32°1912""N, 109°2934""W)","(32.320556, -109.492778), (32.320556, -109.490833), (32.32, -109.490833), (32.32, -109.492778), (32.320556, -109.492778)"
AZT21S35,Fall,31317,908,AZT07,Bowie,< 2 miles,PLT2,Pecan,2021,10/9/2021,64,36,0,0,0,5,3,2,0,0,,,nan,"(32.320556, -109.492778), (32.320556, -109.490833), (32.32, -109.490833), (32.32, -109.492778), (32.320556, -109.492778)"
AZT22S07,Pre-treatment,31317,908,AZT07,Bowie,< 2 miles,PLT2,Pecan,2022,6/17/2022,36,43,14,0,7,4,2,2,0,0,,,nan,"(32.320556, -109.492778), (32.320556, -109.490833), (32.32, -109.490833), (32.32, -109.492778), (32.320556, -109.492778)"
AZT22S36,Fall,31317,908,AZT07,Bowie,< 2 miles,PLT2,Pecan,2022,8/10/2022,,,,,,14,,,,,,,nan,"(32.320556, -109.492778), (32.320556, -109.490833), (32.32, -109.490833), (32.32, -109.492778), (32.320556, -109.492778)"
AZT21S08,Pre-treatment,31317,1002,AZT08,Bowie,< 2 miles,PLT2,Pecan,2021,7/9/2021,55,45,0,0,0,133,73,60,0,0,32.3210444,-109.4767471,"(32°1917""N, 109°2836""W), (32°1917""N, 109°2824""W), (32°1905""N, 109°2824""W), (32°1905""N, 109°2836""W)","(32.321389, -109.476667), (32.321389, -109.473333), (32.318056, -109.473333), (32.318056, -109.476667), (32.321389, -109.476667)"
AZT21S36,Fall,31317,1002,AZT08,Bowie,< 2 miles,PLT2,Pecan,2021,GATELOCKED,44,39,0,6,11,3,1,1,0,0,,,nan,"(32.321389, -109.476667), (32.321389, -109.473333), (32.318056, -109.473333), (32.318056, -109.476667), (32.321389, -109.476667)"
AZT22S08,Pre-treatment,31317,1002,AZT08,Bowie,< 2 miles,PLT2,Pecan,2022,6/17/2022,13,67,20,0,0,20,3,13,0,0,,,nan,"(32.321389, -109.476667), (32.321389, -109.473333), (32.318056, -109.473333), (32.318056, -109.476667), (32.321389, -109.476667)"
AZT22S37,Fall,31317,1002,AZT08,Bowie,< 2 miles,PLT2,Pecan,2022,,80,20,0,0,0,9,7,2,0,0,,,nan,"(32.321389, -109.476667), (32.321389, -109.473333), (32.318056, -109.473333), (32.318056, -109.476667), (32.321389, -109.476667)"
AZT21S10,Pre-treatment,31317,1503W,AZT09,Bowie,Adjacent,DA,Desert,2021,6/30/2021,45,5,0,0,50,533,240,27,0,267,32.3014922,-109.480717,"(32°1805""N, 109°2908""W), (32°1805""N, 109°2905""W), (32°1802""N, 109°2905""W), (32°1802""N, 109°2908""W)","(32.301389, -109.485556), (32.301389, -109.484722), (32.300556, -109.484722), (32.300556, -109.485556), (32.301389, -109.485556)"
AZT21S38,Fall,31317,1503W,AZT09,Bowie,Adjacent,DA,Desert,2021,10/9/2021,37,58,0,0,5,60,22,35,0,3,,,nan,"(32.301389, -109.485556), (32.301389, -109.484722), (32.300556, -109.484722), (32.300556, -109.485556), (32.301389, -109.485556)"
AZT22S10,Pre-treatment,31317,1503W,AZT09,Bowie,Adjacent,DA,Desert,2022,6/17/2022,7,0,0,0,93,400,27,0,0,373,,,nan,"(32.301389, -109.485556), (32.301389, -109.484722), (32.300556, -109.484722), (32.300556, -109.485556), (32.301389, -109.485556)"
AZT22S39,Fall,31317,1503W,AZT09,Bowie,Adjacent,DA,Desert,2022,8/8/2022,31,38,8,0,23,22,7,9,0,5,,,nan,"(32.301389, -109.485556), (32.301389, -109.484722), (32.300556, -109.484722), (32.300556, -109.485556), (32.301389, -109.485556)"
AZT21S09,Pre-treatment,31317,1503,AZT10,Bowie,Treated,PisT,Pistachio,2021,6/30/2021,43,57,0,0,0,17,7,10,0,0,32.3014906,-109.4807193,"(32°1813""N, 109°2902""W), (32°1813""N, 109°2846""W), (32°1801""N, 109°2846""W), (32°1801""N, 109°2902""W)","(32.303611, -109.483889), (32.303611, -109.479444), (32.300278, -109.479444), (32.300278, -109.483889), (32.303611, -109.483889)"
AZT21S37,Fall,31317,1503,AZT10,Bowie,Treated,PisT,Pistachio,2021,10/9/2021,70,30,0,0,0,12,8,4,0,0,,,nan,"(32.303611, -109.483889), (32.303611, -109.479444), (32.300278, -109.479444), (32.300278, -109.483889), (32.303611, -109.483889)"
AZT22S09,Pre-treatment,31317,1503,AZT10,Bowie,Treated,PisT,Pistachio,2022,,80,20,0,0,0,733,587,147,0,0,,,nan,"(32.303611, -109.483889), (32.303611, -109.479444), (32.300278, -109.479444), (32.300278, -109.483889), (32.303611, -109.483889)"
AZT22S38,Fall,31317,1503,AZT10,Bowie,Treated,PisT,Pistachio,2022,8/8/2022,33,67,0,0,0,137,46,91,0,0,,,nan,"(32.303611, -109.483889), (32.303611, -109.479444), (32.300278, -109.479444), (32.300278, -109.483889), (32.303611, -109.483889)"
AZT21S11,Pre-treatment,31317,1504,AZT11,Bowie,Adjacent,PA,Pecan,2021,6/30/2021,ND,ND,ND,ND,ND,0,0,0,0,0,32.3075043,-109.4717107,"(32°1800""N, 109°2903""W), (32°1800""N, 109°2847""W), (32°1750""N, 109°2847""W), (32°1750""N, 109°2903""W)","(32.3, -109.484167), (32.3, -109.479722), (32.297222, -109.479722), (32.297222, -109.484167), (32.3, -109.484167)"
AZT21S39,Fall,31317,1504,AZT11,Bowie,Adjacent,PA,Pecan,2021,10/9/2021,85,15,0,0,0,10,8,2,0,0,,,nan,"(32.3, -109.484167), (32.3, -109.479722), (32.297222, -109.479722), (32.297222, -109.484167), (32.3, -109.484167)"
AZT22S11,Pre-treatment,31317,1504,AZT11,Bowie,Adjacent,PA,Pecan,2022,6/17/2022,20,67,13,0,0,13,3,9,0,0,,,nan,"(32.3, -109.484167), (32.3, -109.479722), (32.297222, -109.479722), (32.297222, -109.484167), (32.3, -109.484167)"
AZT22S40,Fall,31317,1504,AZT11,Bowie,Adjacent,PecT,Pecan,2022,8/8/2022,64,36,0,0,0,10,6,4,0,0,,,nan,"(32.3, -109.484167), (32.3, -109.479722), (32.297222, -109.479722), (32.297222, -109.484167), (32.3, -109.484167)"
AZT21S13,Pre-treatment,31317,2302S,AZT12,Bowie,Adjacent,DA,Desert,2021,6/30/2021,93,7,0,0,0,5,5,0,0,0,32.2897086,-109.4577726,"(32°1652""N, 109°2733""W), (32°1652""N, 109°2730""W), (32°1651""N, 109°2730""W), (32°1651""N, 109°2733""W)","(32.281111, -109.459167), (32.281111, -109.458333), (32.280833, -109.458333), (32.280833, -109.459167), (32.281111, -109.459167)"
AZT21S41,Fall,31317,2302S,AZT12,Bowie,Adjacent,DA,Desert,2021,10/9/2021,78,6,0,0,17,5,4,0,0,1,,,nan,"(32.281111, -109.459167), (32.281111, -109.458333), (32.280833, -109.458333), (32.280833, -109.459167), (32.281111, -109.459167)"
AZT22S13,Pre-treatment,31317,2302S,AZT12,Bowie,Adjacent,DA,Desert,2022,6/17/2022,13,53,33,0,0,18,2,9,0,0,,,nan,"(32.281111, -109.459167), (32.281111, -109.458333), (32.280833, -109.458333), (32.280833, -109.459167), (32.281111, -109.459167)"
AZT22S42,Fall,31317,2302S,AZT12,Bowie,Adjacent,DA,Desert,2022,8/8/2022,,,,,,28,,,,,,,nan,"(32.281111, -109.459167), (32.281111, -109.458333), (32.280833, -109.458333), (32.280833, -109.459167), (32.281111, -109.459167)"
AZT21S12,Pre-treatment,31317,2302,AZT13,Bowie,Treated,PisT,Pistachio,2021,6/30/2021,50,50,0,0,0,2,1,1,0,0,32.2907256,-109.4583594,"(32°1719""N, 109°2748""W), (32°1719""N, 109°2730""W), (32°1707""N, 109°2730""W), (32°1707""N, 109°2743""W)","(32.288611, -109.463333), (32.288611, -109.458333), (32.285278, -109.458333), (32.285278, -109.463333), (32.288611, -109.463333)"
AZT21S40,Fall,31317,2302,AZT13,Bowie,Treated,PisT,Pistachio,2021,10/9/2021,0,100,0,0,0,67,0,67,0,0,,,nan,"(32.288611, -109.463333), (32.288611, -109.458333), (32.285278, -109.458333), (32.285278, -109.463333), (32.288611, -109.463333)"
AZT22S12,Pre-treatment,31317,2302,AZT13,Bowie,Treated,PisT,Pistachio,2022,,20,73,0,0,7,75,15,55,0,5,,,nan,"(32.288611, -109.463333), (32.288611, -109.458333), (32.285278, -109.458333), (32.285278, -109.463333), (32.288611, -109.463333)"
AZT22S41,Fall,31317,2302,AZT13,Bowie,Treated,PisT,Pistachio,2022,8/8/2022,18,82,0,0,0,7,1,5,0,0,,,nan,"(32.288611, -109.463333), (32.288611, -109.458333), (32.285278, -109.458333), (32.285278, -109.463333), (32.288611, -109.463333)"
AZT21S14,Pre-treatment,31317,2304,AZT14,Bowie,Adjacent,PA,Pecan,2021,6/30/2021,85,15,0,0,0,12,10,2,0,0,32.2849708,-109.4558238,"(32°1719""N, 109°2729""W), (32°1719""N, 109°2717""W), (32°1707""N, 109°2717""W), (32°1707""N, 109°2729""W)","(32.288611, -109.458056), (32.288611, -109.454722), (32.285278, -109.454722), (32.285278, -109.458056), (32.288611, -109.458056)"
AZT21S42,Fall,31317,2304,AZT14,Bowie,Adjacent,PA,Pecan,2021,10/9/2021,50,50,0,0,0,1,0,0,0,0,,,nan,"(32.288611, -109.458056), (32.288611, -109.454722), (32.285278, -109.454722), (32.285278, -109.458056), (32.288611, -109.458056)"
AZT22S14,Pre-treatment,31317,2304,AZT14,Bowie,Adjacent,PA,Pecan,2022,6/17/2022,23,77,0,0,0,8,2,6,0,0,,,nan,"(32.288611, -109.458056), (32.288611, -109.454722), (32.285278, -109.454722), (32.285278, -109.458056), (32.288611, -109.458056)"
AZT22S43,Fall,31317,2304,AZT14,Bowie,Adjacent,PA,Pecan,2022,8/8/2022,,,,,,6,,,,,,,nan,"(32.288611, -109.458056), (32.288611, -109.454722), (32.285278, -109.454722), (32.285278, -109.458056), (32.288611, -109.458056)"
